numerical,demographics,clinical_group,clinical_te,diagnosis_group,diagnosis_te,medication_group,medication,other
-0.57895195,-0.04212148,0.078435384,0.18059185,0.15134846,-0.5117026,-0.0040205447,0.04125584,0.116667844
-0.19165218,0.038034428,-0.11252724,-0.11883988,0.102383666,0.28180507,0.082459114,0.13851067,0.047201462
-0.5625989,-0.08103025,0.023543227,-0.1774044,-0.02451149,-0.312835,0.038527675,0.090349495,0.05205924
-0.24420819,-0.25805357,-0.19975209,-0.08097381,-0.0020602718,0.15218368,0.05696252,0.12196984,0.060096785
0.19984293,-0.017782759,-0.011055566,-0.03431233,0.093238026,0.43411303,0.08836816,0.1398486,0.11257537
-0.38058364,-0.040673643,0.08850091,0.21464875,0.10474971,-0.3342933,0.010608009,0.08915716,0.10177292
0.89163274,0.0014958195,0.022731854,-0.042265754,0.051775984,-0.1723161,-0.007963432,0.0637944,0.07314849
-0.45952123,-0.035248894,0.18129796,0.24072136,0.16390738,0.10722215,-0.060142845,-0.0006404972,0.11333199
-0.013389047,-0.027904967,0.054436296,0.17973964,-0.056910217,0.3277421,-0.035812177,0.0112310415,0.07215563
0.30377826,-0.20142148,-0.0072108507,-0.05497788,0.11376057,-0.36598045,0.038219526,0.10069161,0.08308327
0.11455601,-0.010939119,0.06363034,0.30197975,0.028855642,-0.1288858,0.0005066702,0.049645185,0.0985775
0.15833713,0.084152624,0.10481972,0.19216186,0.03488221,-0.14196244,-0.03659924,0.025402986,0.09088618
-0.39217734,-0.06683162,0.08682817,0.13962147,0.12930185,0.26463327,0.03854432,0.08643771,0.097386494
0.5454408,0.051386,-0.016041715,-0.051880203,0.034147438,0.2195726,0.056800455,0.11540652,0.074862935
