feature,value,recall,precision,accuracy,roc_auc,prauc,f1,f2,tp,tn,fp,fn,size
race,Caucasian,0.5757829977628636,0.6472807293303993,0.6443635873593424,0.7003543605685567,0.6782864809209838,0.6094420600858369,0.5887903917643694,0.277474563708645,0.36688902365069737,0.15120274914089346,0.20443366349976416,14841
race,Hispanic,0.46621621621621623,0.5897435897435898,0.6631299734748011,0.723740115661513,0.5765407965306748,0.5207547169811321,0.48660084626234135,0.1830238726790451,0.48010610079575594,0.1273209549071618,0.20954907161803712,377
race,Other,0.34513274336283184,0.5416666666666666,0.624561403508772,0.6540440419839473,0.5017248021344933,0.42162162162162165,0.37213740458015265,0.1368421052631579,0.48771929824561405,0.11578947368421053,0.2596491228070175,285
race,Unknown,0.23684210526315788,0.5901639344262295,0.7074688796680498,0.674920255183413,0.5211305115666786,0.3380281690140845,0.26905829596412556,0.07468879668049792,0.6327800829875518,0.05186721991701245,0.24066390041493776,482
gender,Female,0.5816812053925456,0.6525800711743772,0.6493841306215984,0.7069706823095461,0.6834822779498669,0.6150943396226415,0.5946011673151751,0.2801489544543111,0.3692351761672873,0.1491454215602024,0.20147044781819917,10473
gender,Male,0.5357721694836768,0.6337989591892632,0.644316730523627,0.6972537486267854,0.6610553348736863,0.5806775407779172,0.5528742772494863,0.24627501064282672,0.39804171988080034,0.14229459344401874,0.2133886760323542,9396
age,[0-10),0.0,0.0,0.84375,0.6000000000000001,0.20847826086956522,0.0,0.0,0.0,0.84375,0.0,0.15625,32
age,[10-20),0.47619047619047616,0.7692307692307693,0.704225352112676,0.770745428973277,0.6985805975639326,0.5882352941176471,0.5154639175257731,0.2112676056338028,0.49295774647887325,0.06338028169014084,0.2323943661971831,142
age,[20-30),0.6168831168831169,0.7480314960629921,0.72,0.7940685045948205,0.7720519364494804,0.6761565836298933,0.639300134589502,0.2923076923076923,0.4276923076923077,0.09846153846153846,0.18153846153846154,325
age,[30-40),0.6060606060606061,0.7142857142857143,0.71760391198044,0.7800139254684709,0.7486320371610831,0.6557377049180327,0.625,0.26894865525672373,0.44865525672371637,0.10757946210268948,0.17481662591687042,818
age,[40-50),0.5536105032822757,0.7322720694645442,0.7026078234704113,0.7643569170921469,0.7387210155009972,0.6305295950155764,0.582010582010582,0.25376128385155466,0.44884653961885657,0.09277833500501505,0.2046138415245737,1994
age,[50-60),0.524303305249514,0.6691480562448304,0.6725382616228703,0.7265594620868437,0.6776088598946481,0.5879360465116279,0.5480287223953394,0.23361247473289057,0.4389257868899798,0.11550678602367889,0.21195495235345077,3463
age,[60-70),0.5253071253071253,0.6366885050625373,0.6349316655084549,0.6915484283582443,0.6540401914151972,0.5756596661281637,0.5443527854160302,0.24762566597173963,0.3873059995367153,0.14130182997451934,0.2237665045170257,4317
age,[70-80),0.5884756845116469,0.6112054329371817,0.6186037286790956,0.6608949813109206,0.6450306626273086,0.5996252342286071,0.5928853754940712,0.28560095200317337,0.33300277667592226,0.18167393891312972,0.1997223324077747,5042
age,[80-90),0.6209628275441804,0.6309597523219814,0.623958011732016,0.6776817304384899,0.6694760557796052,0.6259213759213759,0.6229367893385499,0.31460327261500465,0.30935473911701145,0.18400740969435012,0.19203457857363385,3239
age,[90-100),0.30303030303030304,0.4878048780487805,0.5955734406438632,0.587480152697544,0.48223473112536763,0.37383177570093457,0.32786885245901637,0.12072434607645875,0.47484909456740443,0.1267605633802817,0.2776659959758551,497
max_glu_serum,>200,0.6846153846153846,0.664179104477612,0.6600790513833992,0.7093183239524703,0.7206873278459689,0.6742424242424242,0.6804281345565749,0.35177865612648224,0.308300395256917,0.17786561264822134,0.16205533596837945,253
max_glu_serum,>300,0.8282208588957055,0.7258064516129032,0.7030075187969925,0.7518017749717076,0.8348618765931984,0.7736389684813754,0.8054892601431981,0.5075187969924813,0.19548872180451127,0.19172932330827067,0.10526315789473684,266
max_glu_serum,Norm,0.5342465753424658,0.6290322580645161,0.6353944562899787,0.68862100456621,0.6292219601671304,0.5777777777777777,0.5508474576271186,0.24946695095948826,0.3859275053304904,0.14712153518123666,0.21748400852878466,469
max_glu_serum,Unknown,0.5544006326968705,0.6421934301792959,0.6463111064032625,0.7017615552393774,0.6698535901297306,0.5950764006791172,0.5699848995237542,0.2598908956093427,0.3864202107939198,0.1448016524548488,0.20888724114188867,18881
A1Cresult,>7,0.4827586206896552,0.7,0.6561712846347607,0.7334821797734227,0.7022640287006626,0.5714285714285714,0.5147058823529411,0.22921914357682618,0.4269521410579345,0.0982367758186398,0.2455919395465995,794
A1Cresult,>8,0.5653370013755158,0.6431924882629108,0.6614810205351587,0.7043688258096786,0.6640860580156419,0.6017569546120058,0.5793628418381731,0.2557560672059739,0.4057249533291848,0.14187927815805848,0.19663970130678282,1607
A1Cresult,Norm,0.41797752808988764,0.6838235294117647,0.6570576540755467,0.6820445031945364,0.635799333604508,0.5188284518828452,0.45321637426900585,0.1848906560636183,0.4721669980119284,0.08548707753479125,0.25745526838966204,1006
A1Cresult,Unknown,0.5719221909393396,0.640625,0.6445146397764548,0.7021908555814453,0.6754991589110979,0.6043272481406355,0.5844580456162377,0.2714736969991496,0.3730409427773053,0.15229012270684,0.20319523751670515,16462
